Stock,Features,Volatility,Percent Return,Win Rate,Accuracy Test,Total Dict,Selected Features
AZUL4.SA,3,0.753508859202774,4.300100219999986,40.909090909090914,0.332,"{'-1.0': {'precision': 0.5, 'recall': 0.10204081632653061, 'f1-score': 0.1694915254237288, 'support': 98.0}, '0.0': {'precision': 0.2773109243697479, 'recall': 0.4925373134328358, 'f1-score': 0.3548387096774194, 'support': 67.0}, '1.0': {'precision': 0.36036036036036034, 'recall': 0.47058823529411764, 'f1-score': 0.40816326530612246, 'support': 85.0}, 'accuracy': 0.332, 'macro avg': {'precision': 0.37922376157670273, 'recall': 0.355055455017828, 'f1-score': 0.31083116680242356, 'support': 250.0}, 'weighted avg': {'precision': 0.392841850253615, 'recall': 0.332, 'f1-score': 0.3003129623637317, 'support': 250.0}}","['n_estimators', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,4,0.753508859202774,0.14070616000000882,41.66666666666667,0.32,"{'-1.0': {'precision': 0.4482758620689655, 'recall': 0.1326530612244898, 'f1-score': 0.2047244094488189, 'support': 98.0}, '0.0': {'precision': 0.2542372881355932, 'recall': 0.44776119402985076, 'f1-score': 0.32432432432432434, 'support': 67.0}, '1.0': {'precision': 0.3592233009708738, 'recall': 0.43529411764705883, 'f1-score': 0.39361702127659576, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.35391215039181084, 'recall': 0.3385694576337998, 'f1-score': 0.3075552516832463, 'support': 250.0}, 'weighted avg': {'precision': 0.3659956534814705, 'recall': 0.32, 'f1-score': 0.30100067465689845, 'support': 250.0}}","['n_estimators', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,5,0.753508859202774,-8.540786270000025,36.36363636363637,0.304,"{'-1.0': {'precision': 0.4090909090909091, 'recall': 0.09183673469387756, 'f1-score': 0.15, 'support': 98.0}, '0.0': {'precision': 0.2605042016806723, 'recall': 0.4626865671641791, 'f1-score': 0.3333333333333333, 'support': 67.0}, '1.0': {'precision': 0.3302752293577982, 'recall': 0.4235294117647059, 'f1-score': 0.3711340206185567, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.33329011337645986, 'recall': 0.3260175712075875, 'f1-score': 0.28482245131729667, 'support': 250.0}, 'weighted avg': {'precision': 0.34247234039570795, 'recall': 0.304, 'f1-score': 0.2743189003436426, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,6,0.753508859202774,9.636100000000006,45.83333333333333,0.344,"{'-1.0': {'precision': 0.5, 'recall': 0.07142857142857142, 'f1-score': 0.125, 'support': 98.0}, '0.0': {'precision': 0.29365079365079366, 'recall': 0.5522388059701493, 'f1-score': 0.38341968911917096, 'support': 67.0}, '1.0': {'precision': 0.38181818181818183, 'recall': 0.49411764705882355, 'f1-score': 0.4307692307692308, 'support': 85.0}, 'accuracy': 0.344, 'macro avg': {'precision': 0.39182299182299185, 'recall': 0.37259500815251473, 'f1-score': 0.3130629732961339, 'support': 250.0}, 'weighted avg': {'precision': 0.4045165945165945, 'recall': 0.344, 'f1-score': 0.29821801514547636, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,7,0.753508859202774,-21.173700000000046,33.33333333333333,0.284,"{'-1.0': {'precision': 0.5714285714285714, 'recall': 0.04081632653061224, 'f1-score': 0.0761904761904762, 'support': 98.0}, '0.0': {'precision': 0.25, 'recall': 0.5074626865671642, 'f1-score': 0.33497536945812806, 'support': 67.0}, '1.0': {'precision': 0.308411214953271, 'recall': 0.38823529411764707, 'f1-score': 0.34375, 'support': 85.0}, 'accuracy': 0.284, 'macro avg': {'precision': 0.3766132621272808, 'recall': 0.31217143573847456, 'f1-score': 0.2516386152162014, 'support': 250.0}, 'weighted avg': {'precision': 0.39585981308411217, 'recall': 0.284, 'f1-score': 0.23651506568144498, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,8,0.753508859202774,-0.1439932100000624,38.095238095238095,0.3,"{'-1.0': {'precision': 0.2857142857142857, 'recall': 0.061224489795918366, 'f1-score': 0.10084033613445378, 'support': 98.0}, '0.0': {'precision': 0.248, 'recall': 0.4626865671641791, 'f1-score': 0.3229166666666667, 'support': 67.0}, '1.0': {'precision': 0.36538461538461536, 'recall': 0.4470588235294118, 'f1-score': 0.4021164021164021, 'support': 85.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.29969963369963365, 'recall': 0.3236566268298364, 'f1-score': 0.2752911349725075, 'support': 250.0}, 'weighted avg': {'precision': 0.3026947692307692, 'recall': 0.3, 'f1-score': 0.26279065515094924, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,9,0.753508859202774,-0.3432999999999993,50.0,0.312,"{'-1.0': {'precision': 0.5333333333333333, 'recall': 0.08163265306122448, 'f1-score': 0.1415929203539823, 'support': 98.0}, '0.0': {'precision': 0.2558139534883721, 'recall': 0.4925373134328358, 'f1-score': 0.336734693877551, 'support': 67.0}, '1.0': {'precision': 0.3490566037735849, 'recall': 0.43529411764705883, 'f1-score': 0.387434554973822, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.37940129686509677, 'recall': 0.3364880280470397, 'f1-score': 0.28858738973511844, 'support': 250.0}, 'weighted avg': {'precision': 0.39630405148456926, 'recall': 0.312, 'f1-score': 0.27747707142904426, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,10,0.753508859202774,-30.169100000000025,34.61538461538461,0.32,"{'-1.0': {'precision': 0.4782608695652174, 'recall': 0.11224489795918367, 'f1-score': 0.18181818181818182, 'support': 98.0}, '0.0': {'precision': 0.2636363636363636, 'recall': 0.43283582089552236, 'f1-score': 0.327683615819209, 'support': 67.0}, '1.0': {'precision': 0.3418803418803419, 'recall': 0.47058823529411764, 'f1-score': 0.39603960396039606, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.3612591916939743, 'recall': 0.3385563180496079, 'f1-score': 0.30184713386592893, 'support': 250.0}, 'weighted avg': {'precision': 0.3743721225634269, 'recall': 0.32, 'f1-score': 0.29374540165880997, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,11,0.753508859202774,-15.787200000000048,44.44444444444444,0.304,"{'-1.0': {'precision': 0.35, 'recall': 0.07142857142857142, 'f1-score': 0.11864406779661017, 'support': 98.0}, '0.0': {'precision': 0.2605042016806723, 'recall': 0.4626865671641791, 'f1-score': 0.3333333333333333, 'support': 67.0}, '1.0': {'precision': 0.34234234234234234, 'recall': 0.4470588235294118, 'f1-score': 0.3877551020408163, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.31761551467433824, 'recall': 0.32705798737405406, 'f1-score': 0.27991083439025327, 'support': 250.0}, 'weighted avg': {'precision': 0.32341152244681654, 'recall': 0.304, 'f1-score': 0.26767854260348206, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
AZUL4.SA,12,0.753508859202774,-7.125207199999986,46.875,0.36,"{'-1.0': {'precision': 0.5333333333333333, 'recall': 0.08163265306122448, 'f1-score': 0.1415929203539823, 'support': 98.0}, '0.0': {'precision': 0.2823529411764706, 'recall': 0.3582089552238806, 'f1-score': 0.3157894736842105, 'support': 67.0}, '1.0': {'precision': 0.38666666666666666, 'recall': 0.6823529411764706, 'f1-score': 0.49361702127659574, 'support': 85.0}, 'accuracy': 0.36, 'macro avg': {'precision': 0.4007843137254902, 'recall': 0.37406484982052524, 'f1-score': 0.3169998051049295, 'support': 250.0}, 'weighted avg': {'precision': 0.4162039215686275, 'recall': 0.36, 'f1-score': 0.30796579096017207, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']"
